filename,data_type,category,attack_name,attack_target,doc_count,start,end,start_timestamp,end_timestamp
attack_ddos_udp-flood-port-1883_light-sensor,attack,ddos,udp-flood-port-1883,light-sensor,7860512,2025-01-23T21:55:25.264Z,2025-01-23T21:56:27.177Z,1737669325264.0,1737669387177.0
attack_ddos_rst-fin-flood-port-80_plug-all-rpb,attack,ddos,rst-fin-flood-port-80,plug-all-rpb,7860329,2025-01-25T15:51:20.766Z,2025-01-25T15:52:22.791Z,1737820280766.0,1737820342791.0
attack_ddos_udp-flood-port-1883_gas-sensor,attack,ddos,udp-flood-port-1883,gas-sensor,7856217,2025-01-23T21:36:53.853Z,2025-01-23T21:37:55.833Z,1737668213853.0,1737668275833.0
attack_ddos_rst-fin-flood-port-1883_steam-sensor,attack,ddos,rst-fin-flood-port-1883,steam-sensor,7853361,2025-01-25T14:35:06.213Z,2025-01-25T14:36:08.207Z,1737815706213.0,1737815768207.0
attack_ddos_udp-flood-port-1883_vibration-sensor,attack,ddos,udp-flood-port-1883,vibration-sensor,7852342,2025-01-23T21:48:57.827Z,2025-01-23T21:49:59.856Z,1737668937827.0,1737668999856.0
attack_ddos_rst-fin-flood-port-1883_weather-sensor,attack,ddos,rst-fin-flood-port-1883,weather-sensor,7851501,2025-01-25T14:24:42.175Z,2025-01-25T14:25:44.262Z,1737815082175.0,1737815144262.0
attack_ddos_rst-fin-flood-port-80_ap,attack,ddos,rst-fin-flood-port-80,ap,7850189,2025-01-25T15:27:07.201Z,2025-01-25T15:28:09.269Z,1737818827201.0,1737818889269.0
attack_ddos_udp-flood-port-1883_accelerometer-sensor,attack,ddos,udp-flood-port-1883,accelerometer-sensor,7844772,2025-01-23T21:59:47.313Z,2025-01-23T22:00:49.327Z,1737669587313.0,1737669649327.0
attack_ddos_rst-fin-flood-port-80_myq-camera,attack,ddos,rst-fin-flood-port-80,myq-camera,7841332,2025-01-25T15:40:59.388Z,2025-01-25T15:42:01.416Z,1737819659388.0,1737819721416.0
attack_ddos_rst-fin-flood-port-1883_proximity-collision-sensor,attack,ddos,rst-fin-flood-port-1883,proximity-collision-sensor,7837978,2025-01-25T14:59:21.361Z,2025-01-25T15:00:23.385Z,1737817161361.0,1737817223385.0
attack_ddos_rst-fin-flood-port-80_blurams-camera,attack,ddos,rst-fin-flood-port-80,blurams-camera,7837953,2025-01-25T15:34:03.296Z,2025-01-25T15:35:05.298Z,1737819243296.0,1737819305298.0
attack_ddos_icmp-flood_edge1,attack,ddos,icmp-flood,edge1,7837788,2025-01-24T14:20:07.356Z,2025-01-24T14:21:09.216Z,1737728407356.0,1737728469216.0
attack_ddos_rst-fin-flood-port-1883_flame-sensor,attack,ddos,rst-fin-flood-port-1883,flame-sensor,7836279,2025-01-25T15:09:46.319Z,2025-01-25T15:10:48.345Z,1737817786319.0,1737817848345.0
attack_ddos_udp-flood-port-1883_mqtt-broker,attack,ddos,udp-flood-port-1883,mqtt-broker,7830603,2025-01-23T20:51:00.387Z,2025-01-23T20:52:02.366Z,1737665460387.0,1737665522366.0
attack_ddos_udp-flood-port-1883_water-sensor,attack,ddos,udp-flood-port-1883,water-sensor,7826963,2025-01-23T21:16:37.729Z,2025-01-23T21:17:39.730Z,1737666997729.0,1737667059730.0
attack_ddos_rst-fin-flood-port-80_dekco-camera,attack,ddos,rst-fin-flood-port-80,dekco-camera,7825865,2025-01-25T15:37:31.102Z,2025-01-25T15:38:33.099Z,1737819451102.0,1737819513099.0
attack_ddos_udp-flood-port-80_blurams-camera,attack,ddos,udp-flood-port-80,blurams-camera,7824203,2025-01-23T22:53:26.294Z,2025-01-23T22:54:28.271Z,1737672806294.0,1737672868271.0
attack_ddos_udp-flood-port-80_wisenet-camera,attack,ddos,udp-flood-port-80,wisenet-camera,7822534,2025-01-24T01:08:03.069Z,2025-01-24T01:09:05.098Z,1737680883069.0,1737680945098.0
attack_ddos_rst-fin-flood-port-1883_rfid-sensor,attack,ddos,rst-fin-flood-port-1883,rfid-sensor,7822500,2025-01-25T15:06:18.115Z,2025-01-25T15:07:20.122Z,1737817578115.0,1737817640122.0
attack_ddos_rst-fin-flood-port-1883_accelerometer-sensor,attack,ddos,rst-fin-flood-port-1883,accelerometer-sensor,7822251,2025-01-25T14:55:53.334Z,2025-01-25T14:56:55.416Z,1737816953334.0,1737817015416.0
attack_ddos_udp-flood-port-80_myq-camera,attack,ddos,udp-flood-port-80,myq-camera,7809448,2025-01-23T23:09:41.340Z,2025-01-23T23:10:43.283Z,1737673781340.0,1737673843283.0
attack_ddos_rst-fin-flood-port-1883_gas-sensor,attack,ddos,rst-fin-flood-port-1883,gas-sensor,7808736,2025-01-25T14:38:34.273Z,2025-01-25T14:39:36.180Z,1737815914273.0,1737815976180.0
attack_ddos_rst-fin-flood-port-1883_motion-sensor,attack,ddos,rst-fin-flood-port-1883,motion-sensor,7801220,2025-01-25T15:02:50.247Z,2025-01-25T15:03:52.215Z,1737817370247.0,1737817432215.0
attack_ddos_rst-fin-flood-port-1883_vibration-sensor,attack,ddos,rst-fin-flood-port-1883,vibration-sensor,7796529,2025-01-25T14:45:30.351Z,2025-01-25T14:46:32.383Z,1737816330351.0,1737816392383.0
attack_ddos_udp-flood-port-1883_proximity-collision-sensor,attack,ddos,udp-flood-port-1883,proximity-collision-sensor,7794136,2025-01-23T22:11:15.463Z,2025-01-23T22:12:17.454Z,1737670275463.0,1737670337454.0
attack_ddos_udp-flood-port-80_dekco-camera,attack,ddos,udp-flood-port-80,dekco-camera,7789444,2025-01-23T23:01:34.554Z,2025-01-23T23:02:36.436Z,1737673294554.0,1737673356436.0
attack_ddos_synonymousip-flood-port-80_ap,attack,ddos,synonymousip-flood-port-80,ap,7780993,2025-02-12T22:36:50.922Z,2025-02-12T22:37:52.964Z,1739399810922.0,1739399872964.0
attack_ddos_synonymousip-flood-port-80_switch,attack,ddos,synonymousip-flood-port-80,switch,7780855,2025-02-12T22:32:57.721Z,2025-02-12T22:33:59.726Z,1739399577721.0,1739399639726.0
attack_ddos_synonymousip-flood-port-80_router,attack,ddos,synonymousip-flood-port-80,router,7778002,2025-02-12T22:23:30.416Z,2025-02-12T22:24:32.475Z,1739399010416.0,1739399072475.0
attack_ddos_rst-fin-flood-port-1883_ultrasonic-sensor,attack,ddos,rst-fin-flood-port-1883,ultrasonic-sensor,7777515,2025-01-25T14:48:58.402Z,2025-01-25T14:50:00.496Z,1737816538402.0,1737816600496.0
attack_ddos_rst-fin-flood-port-1883_mqtt-broker,attack,ddos,rst-fin-flood-port-1883,mqtt-broker,7774978,2025-01-25T15:16:42.617Z,2025-01-25T15:17:44.579Z,1737818202617.0,1737818264579.0
attack_ddos_udp-flood-port-1883_flame-sensor,attack,ddos,udp-flood-port-1883,flame-sensor,7765134,2025-01-23T22:32:26.557Z,2025-01-23T22:33:28.546Z,1737671546557.0,1737671608546.0
attack_ddos_rst-fin-flood-port-80_yi-camera,attack,ddos,rst-fin-flood-port-80,yi-camera,7761799,2025-01-25T15:30:35.224Z,2025-01-25T15:31:37.217Z,1737819035224.0,1737819097217.0
attack_ddos_rst-fin-flood-port-1883_soil-sensor,attack,ddos,rst-fin-flood-port-1883,soil-sensor,7757971,2025-01-25T14:31:38.024Z,2025-01-25T14:32:40.083Z,1737815498024.0,1737815560083.0
attack_ddos_udp-flood-port-1883_motion-sensor,attack,ddos,udp-flood-port-1883,motion-sensor,7741301,2025-01-23T22:18:27.102Z,2025-01-23T22:19:28.826Z,1737670707102.0,1737670768826.0
attack_ddos_rst-fin-flood-port-1883_sound-sensor,attack,ddos,rst-fin-flood-port-1883,sound-sensor,7741222,2025-01-25T14:42:02.348Z,2025-01-25T14:43:04.338Z,1737816122348.0,1737816184338.0
attack_ddos_udp-flood-port-1883_ultrasonic-sensor,attack,ddos,udp-flood-port-1883,ultrasonic-sensor,7735426,2025-01-23T21:50:49.752Z,2025-01-23T21:51:51.737Z,1737669049752.0,1737669111737.0
attack_ddos_udp-flood-port-1883_steam-sensor,attack,ddos,udp-flood-port-1883,steam-sensor,7673846,2025-01-23T21:26:36.156Z,2025-01-23T21:27:38.220Z,1737667596156.0,1737667658220.0
attack_ddos_udp-flood-port-1883_weather-sensor,attack,ddos,udp-flood-port-1883,weather-sensor,7440856,2025-01-23T21:05:11.951Z,2025-01-23T21:06:13.959Z,1737666311951.0,1737666373959.0
attack_ddos_udp-flood-port-1883_sound-sensor,attack,ddos,udp-flood-port-1883,sound-sensor,7163737,2025-01-23T21:39:49.045Z,2025-01-23T21:40:51.002Z,1737668389045.0,1737668451002.0
attack_ddos_udp-flood-port-1883_soil-sensor,attack,ddos,udp-flood-port-1883,soil-sensor,6786001,2025-01-23T21:33:25.029Z,2025-01-23T21:34:27.052Z,1737668005029.0,1737668067052.0
attack_ddos_icmp-flood_ap,attack,ddos,icmp-flood,ap,6743321,2025-01-24T14:27:02.326Z,2025-01-24T14:28:04.365Z,1737728822326.0,1737728884365.0
attack_ddos_push-ack-flood-port-80_ap,attack,ddos,push-ack-flood-port-80,ap,6656685,2025-01-24T20:22:13.341Z,2025-01-24T20:23:15.351Z,1737750133341.0,1737750195351.0
attack_ddos_udp-flood-port-80_plug-all-sensors,attack,ddos,udp-flood-port-80,plug-all-sensors,6598857,2025-01-24T01:22:59.016Z,2025-01-24T01:24:01.031Z,1737681779016.0,1737681841031.0
attack_ddos_icmp-flood_router,attack,ddos,icmp-flood,router,6482512,2025-01-24T14:09:02.585Z,2025-01-24T14:10:04.654Z,1737727742585.0,1737727804654.0
attack_ddos_syn-flood-port-80_router,attack,ddos,syn-flood-port-80,router,6329844,2025-01-23T15:20:14.269Z,2025-01-23T15:21:16.153Z,1737645614269.0,1737645676153.0
attack_ddos_synonymousip-flood-port-80_myq-camera,attack,ddos,synonymousip-flood-port-80,myq-camera,6189220,2025-02-12T23:07:29.443Z,2025-02-12T23:08:31.459Z,1739401649443.0,1739401711459.0
attack_ddos_push-ack-flood-port-80_router,attack,ddos,push-ack-flood-port-80,router,6010075,2025-01-24T20:08:23.777Z,2025-01-24T20:09:25.783Z,1737749303777.0,1737749365783.0
attack_ddos_tcp-flood-port-80_switch,attack,ddos,tcp-flood-port-80,switch,5906759,2025-01-23T16:57:58.917Z,2025-01-23T16:59:00.948Z,1737651478917.0,1737651540948.0
attack_ddos_push-ack-flood-port-80_myq-camera,attack,ddos,push-ack-flood-port-80,myq-camera,5902897,2025-01-24T20:36:03.164Z,2025-01-24T20:37:04.865Z,1737750963164.0,1737751024865.0
attack_ddos_push-ack-flood-port-80_switch,attack,ddos,push-ack-flood-port-80,switch,5891359,2025-01-24T20:18:45.458Z,2025-01-24T20:19:47.453Z,1737749925458.0,1737749987453.0
attack_ddos_synonymousip-flood-port-1883_accelerometer-sensor,attack,ddos,synonymousip-flood-port-1883,accelerometer-sensor,5868142,2025-02-13T04:11:32.333Z,2025-02-13T04:12:34.343Z,1739419892333.0,1739419954343.0
attack_ddos_push-ack-flood-port-80_yi-camera,attack,ddos,push-ack-flood-port-80,yi-camera,5856146,2025-01-24T20:25:40.400Z,2025-01-24T20:26:42.293Z,1737750340400.0,1737750402293.0
attack_ddos_synonymousip-flood-port-80_edge1,attack,ddos,synonymousip-flood-port-80,edge1,5852458,2025-02-12T22:29:07.605Z,2025-02-12T22:30:09.642Z,1739399347605.0,1739399409642.0
attack_ddos_push-ack-flood-port-1883_ultrasonic-sensor,attack,ddos,push-ack-flood-port-1883,ultrasonic-sensor,5848524,2025-01-24T19:35:50.594Z,2025-01-24T19:36:52.652Z,1737747350594.0,1737747412652.0
attack_ddos_synonymousip-flood-port-1883_soil-sensor,attack,ddos,synonymousip-flood-port-1883,soil-sensor,5833637,2025-02-13T03:26:21.582Z,2025-02-13T03:27:23.668Z,1739417181582.0,1739417243668.0
attack_ddos_tcp-flood-port-1883_mqtt-broker,attack,ddos,tcp-flood-port-1883,mqtt-broker,5826064,2025-01-23T16:54:24.514Z,2025-01-23T16:55:26.567Z,1737651264514.0,1737651326567.0
attack_ddos_tcp-flood-port-80_router,attack,ddos,tcp-flood-port-80,router,5790132,2025-01-23T16:52:31.678Z,2025-01-23T16:53:33.660Z,1737651151678.0,1737651213660.0
attack_ddos_icmp-flood_yi-camera,attack,ddos,icmp-flood,yi-camera,5782881,2025-01-24T14:30:29.242Z,2025-01-24T14:31:31.249Z,1737729029242.0,1737729091249.0
attack_ddos_synonymousip-flood-port-1883_flame-sensor,attack,ddos,synonymousip-flood-port-1883,flame-sensor,5781538,2025-02-13T04:37:22.164Z,2025-02-13T04:38:24.100Z,1739421442164.0,1739421504100.0
attack_ddos_syn-flood-port-1883_steam-sensor,attack,ddos,syn-flood-port-1883,steam-sensor,5774360,2025-01-23T16:04:15.335Z,2025-01-23T16:05:17.370Z,1737648255335.0,1737648317370.0
attack_ddos_push-ack-flood-port-80_blurams-camera,attack,ddos,push-ack-flood-port-80,blurams-camera,5774119,2025-01-24T20:29:08.306Z,2025-01-24T20:30:10.288Z,1737750548306.0,1737750610288.0
attack_ddos_syn-flood-port-1883_proximity-collision-sensor,attack,ddos,syn-flood-port-1883,proximity-collision-sensor,5773372,2025-01-23T16:22:10.340Z,2025-01-23T16:23:12.365Z,1737649330340.0,1737649392365.0
attack_ddos_icmp-flood_mqtt-broker,attack,ddos,icmp-flood,mqtt-broker,5749102,2025-01-24T14:12:29.640Z,2025-01-24T14:13:31.480Z,1737727949640.0,1737728011480.0
attack_ddos_synonymousip-flood-port-1883_vibration-sensor,attack,ddos,synonymousip-flood-port-1883,vibration-sensor,5744126,2025-02-13T03:52:10.913Z,2025-02-13T03:53:12.879Z,1739418730913.0,1739418792879.0
attack_ddos_push-ack-flood-port-1883_weather-sensor,attack,ddos,push-ack-flood-port-1883,weather-sensor,5743776,2025-01-24T19:11:37.998Z,2025-01-24T19:12:39.952Z,1737745897998.0,1737745959952.0
attack_ddos_push-ack-flood-port-1883_mqtt-broker,attack,ddos,push-ack-flood-port-1883,mqtt-broker,5738554,2025-01-24T20:11:50.827Z,2025-01-24T20:12:52.827Z,1737749510827.0,1737749572827.0
attack_ddos_synonymousip-flood-port-80_dekco-camera,attack,ddos,synonymousip-flood-port-80,dekco-camera,5723012,2025-02-12T23:01:02.462Z,2025-02-12T23:02:04.252Z,1739401262462.0,1739401324252.0
attack_ddos_syn-flood-port-80_wisenet-camera,attack,ddos,syn-flood-port-80,wisenet-camera,5720484,2025-01-23T16:47:51.496Z,2025-01-23T16:48:53.366Z,1737650871496.0,1737650933366.0
attack_ddos_push-ack-flood-port-1883_vibration-sensor,attack,ddos,push-ack-flood-port-1883,vibration-sensor,5715406,2025-01-24T19:32:22.637Z,2025-01-24T19:33:24.619Z,1737747142637.0,1737747204619.0
attack_ddos_tcp-flood-port-80_edge1,attack,ddos,tcp-flood-port-80,edge1,5715346,2025-01-23T16:56:17.232Z,2025-01-23T16:57:19.191Z,1737651377232.0,1737651439191.0
attack_ddos_synonymousip-flood-port-1883_proximity-collision-sensor,attack,ddos,synonymousip-flood-port-1883,proximity-collision-sensor,5714328,2025-02-13T04:17:59.724Z,2025-02-13T04:19:01.655Z,1739420279724.0,1739420341655.0
attack_ddos_synonymousip-flood-port-1883_water-sensor,attack,ddos,synonymousip-flood-port-1883,water-sensor,5704304,2025-02-13T03:19:53.683Z,2025-02-13T03:20:55.523Z,1739416793683.0,1739416855523.0
attack_ddos_synonymousip-flood-port-1883_gas-sensor,attack,ddos,synonymousip-flood-port-1883,gas-sensor,5694019,2025-02-13T03:39:16.058Z,2025-02-13T03:40:18.131Z,1739417956058.0,1739418018131.0
attack_ddos_syn-flood-port-1883_weather-sensor,attack,ddos,syn-flood-port-1883,weather-sensor,5692348,2025-01-23T15:36:37.023Z,2025-01-23T15:37:39.043Z,1737646597023.0,1737646659043.0
attack_ddos_push-ack-flood-port-1883_accelerometer-sensor,attack,ddos,push-ack-flood-port-1883,accelerometer-sensor,5690835,2025-01-24T19:42:45.754Z,2025-01-24T19:43:47.791Z,1737747765754.0,1737747827791.0
attack_ddos_icmp-flood_switch,attack,ddos,icmp-flood,switch,5689496,2025-01-24T14:23:35.166Z,2025-01-24T14:24:37.158Z,1737728615166.0,1737728677158.0
attack_ddos_tcp-flood-port-1883_weather-sensor,attack,ddos,tcp-flood-port-1883,weather-sensor,5685209,2025-01-23T19:26:39.584Z,2025-01-23T19:27:41.493Z,1737660399584.0,1737660461493.0
attack_ddos_push-ack-flood-port-1883_rfid-sensor,attack,ddos,push-ack-flood-port-1883,rfid-sensor,5680957,2025-01-24T19:53:07.907Z,2025-01-24T19:54:09.814Z,1737748387907.0,1737748449814.0
attack_ddos_push-ack-flood-port-80_wisenet-camera,attack,ddos,push-ack-flood-port-80,wisenet-camera,5677044,2025-01-24T20:42:58.077Z,2025-01-24T20:43:59.995Z,1737751378077.0,1737751439995.0
attack_ddos_tcp-flood-port-1883_accelerometer-sensor,attack,ddos,tcp-flood-port-1883,accelerometer-sensor,5676848,2025-01-23T19:58:16.379Z,2025-01-23T19:59:18.457Z,1737662296379.0,1737662358457.0
attack_ddos_push-ack-flood-port-1883_steam-sensor,attack,ddos,push-ack-flood-port-1883,steam-sensor,5670574,2025-01-24T19:22:00.206Z,2025-01-24T19:23:02.245Z,1737746520206.0,1737746582245.0
attack_ddos_tcp-flood-port-1883_rfid-sensor,attack,ddos,tcp-flood-port-1883,rfid-sensor,5659664,2025-01-23T20:19:50.567Z,2025-01-23T20:20:52.573Z,1737663590567.0,1737663652573.0
attack_ddos_syn-flood-port-80_dekco-camera,attack,ddos,syn-flood-port-80,dekco-camera,5654505,2025-01-23T16:35:32.827Z,2025-01-23T16:36:34.898Z,1737650132827.0,1737650194898.0
attack_ddos_push-ack-flood-port-1883_proximity-collision-sensor,attack,ddos,push-ack-flood-port-1883,proximity-collision-sensor,5645416,2025-01-24T19:46:12.713Z,2025-01-24T19:47:14.697Z,1737747972713.0,1737748034697.0
attack_ddos_synonymousip-flood-port-80_geeni-camera,attack,ddos,synonymousip-flood-port-80,geeni-camera,5641938,2025-02-12T23:13:58.298Z,2025-02-12T23:15:00.053Z,1739402038298.0,1739402100053.0
attack_ddos_tcp-flood-port-1883_motion-sensor,attack,ddos,tcp-flood-port-1883,motion-sensor,5634333,2025-01-23T20:02:22.391Z,2025-01-23T20:03:24.376Z,1737662542391.0,1737662604376.0
attack_ddos_synonymousip-flood-port-1883_ultrasonic-sensor,attack,ddos,synonymousip-flood-port-1883,ultrasonic-sensor,5625127,2025-02-13T03:58:37.966Z,2025-02-13T03:59:39.915Z,1739419117966.0,1739419179915.0
attack_ddos_tcp-flood-port-80_blurams-camera,attack,ddos,tcp-flood-port-80,blurams-camera,5618230,2025-01-23T20:28:12.421Z,2025-01-23T20:29:14.448Z,1737664092421.0,1737664154448.0
attack_ddos_synonymousip-flood-port-1883_mqtt-broker,attack,ddos,synonymousip-flood-port-1883,mqtt-broker,5617440,2025-02-12T22:26:30.130Z,2025-02-12T22:27:32.147Z,1739399190130.0,1739399252147.0
attack_ddos_icmp-flood_blurams-camera,attack,ddos,icmp-flood,blurams-camera,5608697,2025-01-24T14:33:56.035Z,2025-01-24T14:34:58.095Z,1737729236035.0,1737729298095.0
attack_ddos_synonymousip-flood-port-1883_motion-sensor,attack,ddos,synonymousip-flood-port-1883,motion-sensor,5599915,2025-02-13T04:24:27.136Z,2025-02-13T04:25:29.141Z,1739420667136.0,1739420729141.0
attack_ddos_tcp-flood-port-80_wisenet-camera,attack,ddos,tcp-flood-port-80,wisenet-camera,5589604,2025-01-23T20:40:25.221Z,2025-01-23T20:41:27.195Z,1737664825221.0,1737664887195.0
attack_ddos_syn-flood-port-80_switch,attack,ddos,syn-flood-port-80,switch,5568777,2025-01-23T15:33:03.704Z,2025-01-23T15:34:05.688Z,1737646383704.0,1737646445688.0
attack_ddos_icmp-flood_wisenet-camera,attack,ddos,icmp-flood,wisenet-camera,5567142,2025-01-24T14:47:45.072Z,2025-01-24T14:48:47.037Z,1737730065072.0,1737730127037.0
attack_ddos_tcp-flood-port-80_dekco-camera,attack,ddos,tcp-flood-port-80,dekco-camera,5564220,2025-01-23T20:33:35.375Z,2025-01-23T20:34:37.421Z,1737664415375.0,1737664477421.0
attack_ddos_synonymousip-flood-port-1883_weather-sensor,attack,ddos,synonymousip-flood-port-1883,weather-sensor,5559543,2025-02-13T03:13:26.338Z,2025-02-13T03:14:28.349Z,1739416406338.0,1739416468349.0
attack_ddos_synonymousip-flood-port-80_blurams-camera,attack,ddos,synonymousip-flood-port-80,blurams-camera,5559157,2025-02-12T22:54:34.792Z,2025-02-12T22:55:36.763Z,1739400874792.0,1739400936763.0
attack_ddos_syn-flood-port-80_blurams-camera,attack,ddos,syn-flood-port-80,blurams-camera,5556173,2025-01-23T16:32:51.002Z,2025-01-23T16:33:52.955Z,1737649971002.0,1737650032955.0
attack_ddos_push-ack-flood-port-1883_flame-sensor,attack,ddos,push-ack-flood-port-1883,flame-sensor,5538454,2025-01-24T19:56:34.703Z,2025-01-24T19:57:36.635Z,1737748594703.0,1737748656635.0
attack_ddos_tcp-flood-port-1883_water-sensor,attack,ddos,tcp-flood-port-1883,water-sensor,5535430,2025-01-23T19:29:01.664Z,2025-01-23T19:30:03.576Z,1737660541664.0,1737660603576.0
attack_ddos_synonymousip-flood-port-1883_rfid-sensor,attack,ddos,synonymousip-flood-port-1883,rfid-sensor,5531978,2025-02-13T04:30:54.831Z,2025-02-13T04:31:56.904Z,1739421054831.0,1739421116904.0
attack_ddos_tcp-flood-port-80_ap,attack,ddos,tcp-flood-port-80,ap,5531849,2025-01-23T16:59:42.431Z,2025-01-23T17:00:44.439Z,1737651582431.0,1737651644439.0
attack_ddos_push-ack-flood-port-80_dekco-camera,attack,ddos,push-ack-flood-port-80,dekco-camera,5524038,2025-01-24T20:32:35.636Z,2025-01-24T20:33:37.707Z,1737750755636.0,1737750817707.0
attack_ddos_push-ack-flood-port-1883_motion-sensor,attack,ddos,push-ack-flood-port-1883,motion-sensor,5493026,2025-01-24T19:49:39.877Z,2025-01-24T19:50:41.886Z,1737748179877.0,1737748241886.0
attack_ddos_tcp-flood-port-1883_vibration-sensor,attack,ddos,tcp-flood-port-1883,vibration-sensor,5487105,2025-01-23T20:44:47.183Z,2025-01-23T20:45:49.175Z,1737665087183.0,1737665149175.0
attack_ddos_push-ack-flood-port-1883_gas-sensor,attack,ddos,push-ack-flood-port-1883,gas-sensor,5477493,2025-01-24T19:25:28.309Z,2025-01-24T19:26:30.274Z,1737746728309.0,1737746790274.0
attack_ddos_syn-flood-port-80_ap,attack,ddos,syn-flood-port-80,ap,5477162,2025-01-23T15:34:42.868Z,2025-01-23T15:35:44.846Z,1737646482868.0,1737646544846.0
attack_ddos_syn-flood-port-1883_rfid-sensor,attack,ddos,syn-flood-port-1883,rfid-sensor,5475203,2025-01-23T16:26:09.364Z,2025-01-23T16:27:11.035Z,1737649569364.0,1737649631035.0
attack_ddos_icmp-flood_dekco-camera,attack,ddos,icmp-flood,dekco-camera,5468979,2025-01-24T14:37:23.261Z,2025-01-24T14:38:25.243Z,1737729443261.0,1737729505243.0
attack_ddos_push-ack-flood-port-1883_light-sensor,attack,ddos,push-ack-flood-port-1883,light-sensor,5450761,2025-01-24T19:39:18.460Z,2025-01-24T19:40:20.518Z,1737747558460.0,1737747620518.0
attack_ddos_synonymousip-flood-port-1883_steam-sensor,attack,ddos,synonymousip-flood-port-1883,steam-sensor,5433663,2025-02-13T03:32:48.941Z,2025-02-13T03:33:50.944Z,1739417568941.0,1739417630944.0
attack_ddos_syn-flood-port-1883_ultrasonic-sensor,attack,ddos,syn-flood-port-1883,ultrasonic-sensor,5425007,2025-01-23T16:16:52.038Z,2025-01-23T16:17:54.016Z,1737649012038.0,1737649074016.0
attack_ddos_synonymousip-flood-port-1883_sound-sensor,attack,ddos,synonymousip-flood-port-1883,sound-sensor,5407807,2025-02-13T03:45:43.856Z,2025-02-13T03:46:45.675Z,1739418343856.0,1739418405675.0
attack_ddos_tcp-flood-port-1883_steam-sensor,attack,ddos,tcp-flood-port-1883,steam-sensor,5397546,2025-01-23T19:38:35.822Z,2025-01-23T19:39:37.846Z,1737661115822.0,1737661177846.0
attack_ddos_synonymousip-flood-port-80_wisenet-camera,attack,ddos,synonymousip-flood-port-80,wisenet-camera,5385093,2025-02-12T23:20:25.331Z,2025-02-12T23:21:27.346Z,1739402425331.0,1739402487346.0
attack_ddos_tcp-flood-port-80_myq-camera,attack,ddos,tcp-flood-port-80,myq-camera,5380401,2025-01-23T20:35:54.532Z,2025-01-23T20:36:56.567Z,1737664554532.0,1737664616567.0
attack_ddos_syn-flood-port-1883_accelerometer-sensor,attack,ddos,syn-flood-port-1883,accelerometer-sensor,5364722,2025-01-23T16:20:12.480Z,2025-01-23T16:21:14.560Z,1737649212480.0,1737649274560.0
